Município;UF;TOM;Unidade Local;Delegacia;Região Fiscal;Estado;Pais
ABADIA DOS DOURADOS;MG;4001;RFB;RFB;06ª RF;MG;Brasil
ABAETE;MG;4003;RFB;RFB;06ª RF;MG;Brasil
ABRE CAMPO;MG;4005;RFB;RFB;06ª RF;MG;Brasil
ACAIACA;MG;4007;RFB;RFB;06ª RF;MG;Brasil
AGUANIL;MG;4015;RFB;RFB;06ª RF;MG;Brasil
AIMORES;MG;4021;RFB;RFB;06ª RF;MG;Brasil
AIURUOCA;MG;4023;RFB;RFB;06ª RF;MG;Brasil
ALAGOA;MG;4025;RFB;RFB;06ª RF;MG;Brasil
ALBERTINA;MG;4027;RFB;RFB;06ª RF;MG;Brasil
ALFENAS;MG;4031;RFB;RFB;06ª RF;MG;Brasil
ALFREDO VASCONCELOS;MG;2681;RFB;RFB;06ª RF;MG;Brasil
ALMENARA;MG;4033;RFB;RFB;06ª RF;MG;Brasil
ALPERCATA;MG;4035;RFB;RFB;06ª RF;MG;Brasil
ALPINOPOLIS;MG;4037;RFB;RFB;06ª RF;MG;Brasil
ALTEROSA;MG;4039;RFB;RFB;06ª RF;MG;Brasil
ALTO CAPARAO;MG;0564;RFB;RFB;06ª RF;MG;Brasil
ALTO JEQUITIBA;MG;5069;RFB;RFB;06ª RF;MG;Brasil
ALTO RIO DOCE;MG;4041;RFB;RFB;06ª RF;MG;Brasil
ALVARENGA;MG;4043;RFB;RFB;06ª RF;MG;Brasil
ALVINOPOLIS;MG;4045;RFB;RFB;06ª RF;MG;Brasil
ALVORADA DE MINAS;MG;4047;RFB;RFB;06ª RF;MG;Brasil
ALEM PARAIBA;MG;4029;RFB;RFB;06ª RF;MG;Brasil
AMPARO DA SERRA;MG;4049;RFB;RFB;06ª RF;MG;Brasil
ANDRADAS;MG;4051;RFB;RFB;06ª RF;MG;Brasil
ANDRELANDIA;MG;4055;RFB;RFB;06ª RF;MG;Brasil
ANGELANDIA;MG;0566;RFB;RFB;06ª RF;MG;Brasil
ANTONIO CARLOS;MG;4057;RFB;RFB;06ª RF;MG;Brasil
ANTONIO DIAS;MG;4059;RFB;RFB;06ª RF;MG;Brasil
ANTONIO PRADO DE MINAS;MG;4061;RFB;RFB;06ª RF;MG;Brasil
ARACITABA;MG;4065;RFB;RFB;06ª RF;MG;Brasil
ARAGUARI;MG;4069;RFB;RFB;06ª RF;MG;Brasil
ARANTINA;MG;4071;RFB;RFB;06ª RF;MG;Brasil
ARAPONGA;MG;4073;RFB;RFB;06ª RF;MG;Brasil
ARAPORA;MG;2903;RFB;RFB;06ª RF;MG;Brasil
ARAPUA;MG;4075;RFB;RFB;06ª RF;MG;Brasil
ARAXA;MG;4079;RFB;RFB;06ª RF;MG;Brasil
ARACAI;MG;4063;RFB;RFB;06ª RF;MG;Brasil
ARACUAI;MG;4067;RFB;RFB;06ª RF;MG;Brasil
ARAUJOS;MG;4077;RFB;RFB;06ª RF;MG;Brasil
ARCEBURGO;MG;4081;RFB;RFB;06ª RF;MG;Brasil
ARCOS;MG;4083;RFB;RFB;06ª RF;MG;Brasil
AREADO;MG;4085;RFB;RFB;06ª RF;MG;Brasil
ARGIRITA;MG;4087;RFB;RFB;06ª RF;MG;Brasil
ARICANDUVA;MG;0568;RFB;RFB;06ª RF;MG;Brasil
ARINOS;MG;4089;RFB;RFB;06ª RF;MG;Brasil
ASTOLFO DUTRA;MG;4091;RFB;RFB;06ª RF;MG;Brasil
ATALEIA;MG;4093;RFB;RFB;06ª RF;MG;Brasil
AUGUSTO DE LIMA;MG;4095;RFB;RFB;06ª RF;MG;Brasil
ACUCENA;MG;4009;RFB;RFB;06ª RF;MG;Brasil
BAEPENDI;MG;4097;RFB;RFB;06ª RF;MG;Brasil
BALDIM;MG;4099;RFB;RFB;06ª RF;MG;Brasil
BAMBUI;MG;4101;RFB;RFB;06ª RF;MG;Brasil
BANDEIRA;MG;4103;RFB;RFB;06ª RF;MG;Brasil
BANDEIRA DO SUL;MG;4105;RFB;RFB;06ª RF;MG;Brasil
BARBACENA;MG;4111;RFB;RFB;06ª RF;MG;Brasil
BARRA LONGA;MG;4113;RFB;RFB;06ª RF;MG;Brasil
BARROSO;MG;4117;RFB;RFB;06ª RF;MG;Brasil
BARAO DE COCAIS;MG;4107;RFB;RFB;06ª RF;MG;Brasil
BARAO DO MONTE ALTO;MG;4109;RFB;RFB;06ª RF;MG;Brasil
BELA VISTA DE MINAS;MG;4119;RFB;RFB;06ª RF;MG;Brasil
BELMIRO BRAGA;MG;4121;RFB;RFB;06ª RF;MG;Brasil
BELO HORIZONTE;MG;4123;RFB;RFB;06ª RF;MG;Brasil
BELO ORIENTE;MG;4125;RFB;RFB;06ª RF;MG;Brasil
BELO VALE;MG;4127;RFB;RFB;06ª RF;MG;Brasil
BERILO;MG;4129;RFB;RFB;06ª RF;MG;Brasil
BERIZAL;MG;0570;RFB;RFB;06ª RF;MG;Brasil
BERTOPOLIS;MG;4131;RFB;RFB;06ª RF;MG;Brasil
BETIM;MG;4133;RFB;RFB;06ª RF;MG;Brasil
BIAS FORTES;MG;4135;RFB;RFB;06ª RF;MG;Brasil
BICAS;MG;4137;RFB;RFB;06ª RF;MG;Brasil
BIQUINHAS;MG;4139;RFB;RFB;06ª RF;MG;Brasil
BOA ESPERANCA;MG;4141;RFB;RFB;06ª RF;MG;Brasil
BOCAINA DE MINAS;MG;4143;RFB;RFB;06ª RF;MG;Brasil
BOCAIUVA;MG;4145;RFB;RFB;06ª RF;MG;Brasil
BOM DESPACHO;MG;4147;RFB;RFB;06ª RF;MG;Brasil
BOM JARDIM DE MINAS;MG;4149;RFB;RFB;06ª RF;MG;Brasil
BOM JESUS DA PENHA;MG;4151;RFB;RFB;06ª RF;MG;Brasil
BOM JESUS DO AMPARO;MG;4153;RFB;RFB;06ª RF;MG;Brasil
BOM JESUS DO GALHO;MG;4155;RFB;RFB;06ª RF;MG;Brasil
BOM REPOUSO;MG;4157;RFB;RFB;06ª RF;MG;Brasil
BOM SUCESSO;MG;4159;RFB;RFB;06ª RF;MG;Brasil
BONFIM;MG;4161;RFB;RFB;06ª RF;MG;Brasil
BONFINOPOLIS DE MINAS;MG;4163;RFB;RFB;06ª RF;MG;Brasil
BONITO DE MINAS;MG;0572;RFB;RFB;06ª RF;MG;Brasil
BORDA DA MATA;MG;4165;RFB;RFB;06ª RF;MG;Brasil
BOTELHOS;MG;4167;RFB;RFB;06ª RF;MG;Brasil
BOTUMIRIM;MG;4169;RFB;RFB;06ª RF;MG;Brasil
BRASILANDIA DE MINAS;MG;0574;RFB;RFB;06ª RF;MG;Brasil
BRASILIA DE MINAS;MG;4171;RFB;RFB;06ª RF;MG;Brasil
BRASOPOLIS;MG;4177;RFB;RFB;06ª RF;MG;Brasil
BRAUNAS;MG;4175;RFB;RFB;06ª RF;MG;Brasil
BRUMADINHO;MG;4179;RFB;RFB;06ª RF;MG;Brasil
BRAS PIRES;MG;4173;RFB;RFB;06ª RF;MG;Brasil
BUENO BRANDAO;MG;4181;RFB;RFB;06ª RF;MG;Brasil
BUENOPOLIS;MG;4183;RFB;RFB;06ª RF;MG;Brasil
BUGRE;MG;0576;RFB;RFB;06ª RF;MG;Brasil
BURITIS;MG;4185;RFB;RFB;06ª RF;MG;Brasil
BURITIZEIRO;MG;4187;RFB;RFB;06ª RF;MG;Brasil
CABECEIRA GRANDE;MG;0578;RFB;RFB;06ª RF;MG;Brasil
CABO VERDE;MG;4189;RFB;RFB;06ª RF;MG;Brasil
CACHOEIRA DOURADA;MG;4195;RFB;RFB;06ª RF;MG;Brasil
CACHOEIRA DA PRATA;MG;4191;RFB;RFB;06ª RF;MG;Brasil
CACHOEIRA DE MINAS;MG;4193;RFB;RFB;06ª RF;MG;Brasil
CACHOEIRA DE PAJEU;MG;4053;RFB;RFB;06ª RF;MG;Brasil
CAETANOPOLIS;MG;4197;RFB;RFB;06ª RF;MG;Brasil
CAETE;MG;4199;RFB;RFB;06ª RF;MG;Brasil
CAIANA;MG;4201;RFB;RFB;06ª RF;MG;Brasil
CAJURI;MG;4203;RFB;RFB;06ª RF;MG;Brasil
CALDAS;MG;4205;RFB;RFB;06ª RF;MG;Brasil
CAMACHO;MG;4207;RFB;RFB;06ª RF;MG;Brasil
CAMANDUCAIA;MG;4209;RFB;RFB;06ª RF;MG;Brasil
CAMBUQUIRA;MG;4213;RFB;RFB;06ª RF;MG;Brasil
CAMBUI;MG;4211;RFB;RFB;06ª RF;MG;Brasil
CAMPANHA;MG;4217;RFB;RFB;06ª RF;MG;Brasil
CAMPANARIO;MG;4215;RFB;RFB;06ª RF;MG;Brasil
CAMPESTRE;MG;4219;RFB;RFB;06ª RF;MG;Brasil
CAMPINA VERDE;MG;4221;RFB;RFB;06ª RF;MG;Brasil
CAMPO AZUL;MG;0580;RFB;RFB;06ª RF;MG;Brasil
CAMPO BELO;MG;4223;RFB;RFB;06ª RF;MG;Brasil
CAMPO FLORIDO;MG;4227;RFB;RFB;06ª RF;MG;Brasil
CAMPO DO MEIO;MG;4225;RFB;RFB;06ª RF;MG;Brasil
CAMPOS ALTOS;MG;4229;RFB;RFB;06ª RF;MG;Brasil
CAMPOS GERAIS;MG;4231;RFB;RFB;06ª RF;MG;Brasil
CANA VERDE;MG;4237;RFB;RFB;06ª RF;MG;Brasil
CANAA;MG;4233;RFB;RFB;06ª RF;MG;Brasil
CANDEIAS;MG;4239;RFB;RFB;06ª RF;MG;Brasil
CANTAGALO;MG;0582;RFB;RFB;06ª RF;MG;Brasil
CANAPOLIS;MG;4235;RFB;RFB;06ª RF;MG;Brasil
CAPARAO;MG;4241;RFB;RFB;06ª RF;MG;Brasil
CAPELA NOVA;MG;4243;RFB;RFB;06ª RF;MG;Brasil
CAPELINHA;MG;4245;RFB;RFB;06ª RF;MG;Brasil
CAPETINGA;MG;4247;RFB;RFB;06ª RF;MG;Brasil
CAPIM BRANCO;MG;4249;RFB;RFB;06ª RF;MG;Brasil
CAPINOPOLIS;MG;4251;RFB;RFB;06ª RF;MG;Brasil
CAPITAO ANDRADE;MG;2651;RFB;RFB;06ª RF;MG;Brasil
CAPITAO ENEAS;MG;4253;RFB;RFB;06ª RF;MG;Brasil
CAPITOLIO;MG;4255;RFB;RFB;06ª RF;MG;Brasil
CAPUTIRA;MG;4257;RFB;RFB;06ª RF;MG;Brasil
CARANAIBA;MG;4261;RFB;RFB;06ª RF;MG;Brasil
CARANDAI;MG;4263;RFB;RFB;06ª RF;MG;Brasil
CARANGOLA;MG;4265;RFB;RFB;06ª RF;MG;Brasil
CARATINGA;MG;4267;RFB;RFB;06ª RF;MG;Brasil
CARAI;MG;4259;RFB;RFB;06ª RF;MG;Brasil
CARBONITA;MG;4269;RFB;RFB;06ª RF;MG;Brasil
CAREACU;MG;4271;RFB;RFB;06ª RF;MG;Brasil
CARLOS CHAGAS;MG;4273;RFB;RFB;06ª RF;MG;Brasil
CARMO DA CACHOEIRA;MG;4277;RFB;RFB;06ª RF;MG;Brasil
CARMO DA MATA;MG;4279;RFB;RFB;06ª RF;MG;Brasil
CARMO DE MINAS;MG;4281;RFB;RFB;06ª RF;MG;Brasil
CARMO DO CAJURU;MG;4283;RFB;RFB;06ª RF;MG;Brasil
CARMO DO PARANAIBA;MG;4285;RFB;RFB;06ª RF;MG;Brasil
CARMO DO RIO CLARO;MG;4287;RFB;RFB;06ª RF;MG;Brasil
CARMESIA;MG;4275;RFB;RFB;06ª RF;MG;Brasil
CARMOPOLIS DE MINAS;MG;4289;RFB;RFB;06ª RF;MG;Brasil
CARNEIRINHO;MG;2685;RFB;RFB;06ª RF;MG;Brasil
CARRANCAS;MG;4291;RFB;RFB;06ª RF;MG;Brasil
CARVALHOS;MG;4295;RFB;RFB;06ª RF;MG;Brasil
CARVALHOPOLIS;MG;4293;RFB;RFB;06ª RF;MG;Brasil
CASA GRANDE;MG;4297;RFB;RFB;06ª RF;MG;Brasil
CASCALHO RICO;MG;4299;RFB;RFB;06ª RF;MG;Brasil
CATAGUASES;MG;4305;RFB;RFB;06ª RF;MG;Brasil
CATAS ALTAS;MG;0584;RFB;RFB;06ª RF;MG;Brasil
CATAS ALTAS DA NORUEGA;MG;4307;RFB;RFB;06ª RF;MG;Brasil
CATUJI;MG;2653;RFB;RFB;06ª RF;MG;Brasil
CATUTI;MG;0586;RFB;RFB;06ª RF;MG;Brasil
CAXAMBU;MG;4309;RFB;RFB;06ª RF;MG;Brasil
CEDRO DO ABAETE;MG;4311;RFB;RFB;06ª RF;MG;Brasil
CENTRAL DE MINAS;MG;4313;RFB;RFB;06ª RF;MG;Brasil
CENTRALINA;MG;4315;RFB;RFB;06ª RF;MG;Brasil
CHALE;MG;4319;RFB;RFB;06ª RF;MG;Brasil
CHAPADA GAUCHA;MG;0588;RFB;RFB;06ª RF;MG;Brasil
CHAPADA DO NORTE;MG;4321;RFB;RFB;06ª RF;MG;Brasil
CHIADOR;MG;4323;RFB;RFB;06ª RF;MG;Brasil
CHACARA;MG;4317;RFB;RFB;06ª RF;MG;Brasil
CIPOTANEA;MG;4325;RFB;RFB;06ª RF;MG;Brasil
CLARAVAL;MG;4327;RFB;RFB;06ª RF;MG;Brasil
CLARO DOS POCOES;MG;4329;RFB;RFB;06ª RF;MG;Brasil
CLAUDIO;MG;4331;RFB;RFB;06ª RF;MG;Brasil
COIMBRA;MG;4333;RFB;RFB;06ª RF;MG;Brasil
COLUNA;MG;4335;RFB;RFB;06ª RF;MG;Brasil
COMENDADOR GOMES;MG;4337;RFB;RFB;06ª RF;MG;Brasil
COMERCINHO;MG;4339;RFB;RFB;06ª RF;MG;Brasil
CONCEICAO DA APARECIDA;MG;4341;RFB;RFB;06ª RF;MG;Brasil
CONCEICAO DA BARRA DE MINAS;MG;4303;RFB;RFB;06ª RF;MG;Brasil
CONCEICAO DAS ALAGOAS;MG;4345;RFB;RFB;06ª RF;MG;Brasil
CONCEICAO DAS PEDRAS;MG;4343;RFB;RFB;06ª RF;MG;Brasil
CONCEICAO DE IPANEMA;MG;4347;RFB;RFB;06ª RF;MG;Brasil
CONCEICAO DO MATO DENTRO;MG;4349;RFB;RFB;06ª RF;MG;Brasil
CONCEICAO DO PARA;MG;4351;RFB;RFB;06ª RF;MG;Brasil
CONCEICAO DO RIO VERDE;MG;4353;RFB;RFB;06ª RF;MG;Brasil
CONCEICAO DOS OUROS;MG;4355;RFB;RFB;06ª RF;MG;Brasil
CONFINS;MG;0592;RFB;RFB;06ª RF;MG;Brasil
CONGONHAL;MG;4357;RFB;RFB;06ª RF;MG;Brasil
CONGONHAS;MG;4359;RFB;RFB;06ª RF;MG;Brasil
CONGONHAS DO NORTE;MG;4361;RFB;RFB;06ª RF;MG;Brasil
CONQUISTA;MG;4363;RFB;RFB;06ª RF;MG;Brasil
CONSELHEIRO LAFAIETE;MG;4365;RFB;RFB;06ª RF;MG;Brasil
CONSELHEIRO PENA;MG;4367;RFB;RFB;06ª RF;MG;Brasil
CONSOLACAO;MG;4369;RFB;RFB;06ª RF;MG;Brasil
CONTAGEM;MG;4371;RFB;RFB;06ª RF;MG;Brasil
COQUEIRAL;MG;4373;RFB;RFB;06ª RF;MG;Brasil
CORACAO DE JESUS;MG;4375;RFB;RFB;06ª RF;MG;Brasil
CORDISBURGO;MG;4377;RFB;RFB;06ª RF;MG;Brasil
CORDISLANDIA;MG;4379;RFB;RFB;06ª RF;MG;Brasil
CORINTO;MG;4381;RFB;RFB;06ª RF;MG;Brasil
COROACI;MG;4383;RFB;RFB;06ª RF;MG;Brasil
COROMANDEL;MG;4385;RFB;RFB;06ª RF;MG;Brasil
CORONEL FABRICIANO;MG;4387;RFB;RFB;06ª RF;MG;Brasil
CORONEL MURTA;MG;4389;RFB;RFB;06ª RF;MG;Brasil
CORONEL PACHECO;MG;4391;RFB;RFB;06ª RF;MG;Brasil
CORONEL XAVIER CHAVES;MG;4393;RFB;RFB;06ª RF;MG;Brasil
COUTO DE MAGALHAES DE MINAS;MG;4401;RFB;RFB;06ª RF;MG;Brasil
CRISTAIS;MG;4403;RFB;RFB;06ª RF;MG;Brasil
CRISTIANO OTONI;MG;4407;RFB;RFB;06ª RF;MG;Brasil
CRISTINA;MG;4409;RFB;RFB;06ª RF;MG;Brasil
CRISTALIA;MG;4405;RFB;RFB;06ª RF;MG;Brasil
CRISOLITA;MG;0596;RFB;RFB;06ª RF;MG;Brasil
CRUCILANDIA;MG;4411;RFB;RFB;06ª RF;MG;Brasil
CRUZEIRO DA FORTALEZA;MG;4413;RFB;RFB;06ª RF;MG;Brasil
CRUZILIA;MG;4415;RFB;RFB;06ª RF;MG;Brasil
CUPARAQUE;MG;0598;RFB;RFB;06ª RF;MG;Brasil
CURRAL DE DENTRO;MG;0600;RFB;RFB;06ª RF;MG;Brasil
CURVELO;MG;4417;RFB;RFB;06ª RF;MG;Brasil
CASSIA;MG;4301;RFB;RFB;06ª RF;MG;Brasil
CORREGO DANTA;MG;4395;RFB;RFB;06ª RF;MG;Brasil
CORREGO FUNDO;MG;0594;RFB;RFB;06ª RF;MG;Brasil
CORREGO NOVO;MG;4399;RFB;RFB;06ª RF;MG;Brasil
CORREGO DO BOM JESUS;MG;4397;RFB;RFB;06ª RF;MG;Brasil
CONEGO MARINHO;MG;0590;RFB;RFB;06ª RF;MG;Brasil
DATAS;MG;4419;RFB;RFB;06ª RF;MG;Brasil
DELFIM MOREIRA;MG;4421;RFB;RFB;06ª RF;MG;Brasil
DELFINOPOLIS;MG;4423;RFB;RFB;06ª RF;MG;Brasil
DELTA;MG;0602;RFB;RFB;06ª RF;MG;Brasil
DESCOBERTO;MG;4425;RFB;RFB;06ª RF;MG;Brasil
DESTERRO DE ENTRE RIOS;MG;4427;RFB;RFB;06ª RF;MG;Brasil
DESTERRO DO MELO;MG;4429;RFB;RFB;06ª RF;MG;Brasil
DIAMANTINA;MG;4431;RFB;RFB;06ª RF;MG;Brasil
DIOGO DE VASCONCELOS;MG;4433;RFB;RFB;06ª RF;MG;Brasil
DIONISIO;MG;4435;RFB;RFB;06ª RF;MG;Brasil
DIVINO;MG;4439;RFB;RFB;06ª RF;MG;Brasil
DIVINO DAS LARANJEIRAS;MG;4441;RFB;RFB;06ª RF;MG;Brasil
DIVINOLANDIA DE MINAS;MG;4443;RFB;RFB;06ª RF;MG;Brasil
DIVINESIA;MG;4437;RFB;RFB;06ª RF;MG;Brasil
DIVINOPOLIS;MG;4445;RFB;RFB;06ª RF;MG;Brasil
DIVISA ALEGRE;MG;0604;RFB;RFB;06ª RF;MG;Brasil
DIVISA NOVA;MG;4447;RFB;RFB;06ª RF;MG;Brasil
DIVISOPOLIS;MG;2657;RFB;RFB;06ª RF;MG;Brasil
DOM BOSCO;MG;0606;RFB;RFB;06ª RF;MG;Brasil
DOM CAVATI;MG;4449;RFB;RFB;06ª RF;MG;Brasil
DOM JOAQUIM;MG;4451;RFB;RFB;06ª RF;MG;Brasil
DOM SILVERIO;MG;4453;RFB;RFB;06ª RF;MG;Brasil
DOM VICOSO;MG;4455;RFB;RFB;06ª RF;MG;Brasil
DONA EUZEBIA;MG;4457;RFB;RFB;06ª RF;MG;Brasil
DORES DE CAMPOS;MG;4459;RFB;RFB;06ª RF;MG;Brasil
DORES DE GUANHAES;MG;4461;RFB;RFB;06ª RF;MG;Brasil
DORES DO INDAIA;MG;4463;RFB;RFB;06ª RF;MG;Brasil
DORES DO TURVO;MG;4465;RFB;RFB;06ª RF;MG;Brasil
DORESOPOLIS;MG;4467;RFB;RFB;06ª RF;MG;Brasil
DOURADOQUARA;MG;4469;RFB;RFB;06ª RF;MG;Brasil
DURANDE;MG;2675;RFB;RFB;06ª RF;MG;Brasil
ELOI MENDES;MG;4471;RFB;RFB;06ª RF;MG;Brasil
ENGENHEIRO CALDAS;MG;4473;RFB;RFB;06ª RF;MG;Brasil
ENGENHEIRO NAVARRO;MG;4475;RFB;RFB;06ª RF;MG;Brasil
ENTRE FOLHAS;MG;2663;RFB;RFB;06ª RF;MG;Brasil
ENTRE RIOS DE MINAS;MG;4477;RFB;RFB;06ª RF;MG;Brasil
ERVALIA;MG;4479;RFB;RFB;06ª RF;MG;Brasil
ESMERALDAS;MG;4481;RFB;RFB;06ª RF;MG;Brasil
ESPERA FELIZ;MG;4483;RFB;RFB;06ª RF;MG;Brasil
ESPINOSA;MG;4485;RFB;RFB;06ª RF;MG;Brasil
ESPIRITO SANTO DO DOURADO;MG;4487;RFB;RFB;06ª RF;MG;Brasil
ESTIVA;MG;4489;RFB;RFB;06ª RF;MG;Brasil
ESTRELA DALVA;MG;4491;RFB;RFB;06ª RF;MG;Brasil
ESTRELA DO INDAIA;MG;4493;RFB;RFB;06ª RF;MG;Brasil
ESTRELA DO SUL;MG;4495;RFB;RFB;06ª RF;MG;Brasil
EUGENOPOLIS;MG;4497;RFB;RFB;06ª RF;MG;Brasil
EWBANK DA CAMARA;MG;4499;RFB;RFB;06ª RF;MG;Brasil
EXTREMA;MG;4501;RFB;RFB;06ª RF;MG;Brasil
FAMA;MG;4503;RFB;RFB;06ª RF;MG;Brasil
FARIA LEMOS;MG;4505;RFB;RFB;06ª RF;MG;Brasil
FELISBURGO;MG;4511;RFB;RFB;06ª RF;MG;Brasil
FELIXLANDIA;MG;4513;RFB;RFB;06ª RF;MG;Brasil
FELICIO DOS SANTOS;MG;4507;RFB;RFB;06ª RF;MG;Brasil
FERNANDES TOURINHO;MG;4515;RFB;RFB;06ª RF;MG;Brasil
FERROS;MG;4517;RFB;RFB;06ª RF;MG;Brasil
FERVEDOURO;MG;2683;RFB;RFB;06ª RF;MG;Brasil
FLORESTAL;MG;4519;RFB;RFB;06ª RF;MG;Brasil
FORMIGA;MG;4521;RFB;RFB;06ª RF;MG;Brasil
FORMOSO;MG;4523;RFB;RFB;06ª RF;MG;Brasil
FORTALEZA DE MINAS;MG;4525;RFB;RFB;06ª RF;MG;Brasil
FORTUNA DE MINAS;MG;4527;RFB;RFB;06ª RF;MG;Brasil
FRANCISCO BADARO;MG;4529;RFB;RFB;06ª RF;MG;Brasil
FRANCISCO DUMONT;MG;4531;RFB;RFB;06ª RF;MG;Brasil
FRANCISCO SA;MG;4533;RFB;RFB;06ª RF;MG;Brasil
FRANCISCOPOLIS;MG;0608;RFB;RFB;06ª RF;MG;Brasil
FREI GASPAR;MG;4535;RFB;RFB;06ª RF;MG;Brasil
FREI INOCENCIO;MG;4537;RFB;RFB;06ª RF;MG;Brasil
FREI LAGONEGRO;MG;0610;RFB;RFB;06ª RF;MG;Brasil
FRONTEIRA;MG;4539;RFB;RFB;06ª RF;MG;Brasil
FRONTEIRA DOS VALES;MG;4935;RFB;RFB;06ª RF;MG;Brasil
FRUTA DE LEITE;MG;0612;RFB;RFB;06ª RF;MG;Brasil
FRUTAL;MG;4541;RFB;RFB;06ª RF;MG;Brasil
FUNILANDIA;MG;4543;RFB;RFB;06ª RF;MG;Brasil
GALILEIA;MG;4545;RFB;RFB;06ª RF;MG;Brasil
GAMELEIRAS;MG;0614;RFB;RFB;06ª RF;MG;Brasil
GLAUCILANDIA;MG;0616;RFB;RFB;06ª RF;MG;Brasil
GOIABEIRA;MG;0618;RFB;RFB;06ª RF;MG;Brasil
GOIANA;MG;0620;RFB;RFB;06ª RF;MG;Brasil
GONZAGA;MG;4549;RFB;RFB;06ª RF;MG;Brasil
GONCALVES;MG;4547;RFB;RFB;06ª RF;MG;Brasil
GOUVEA;MG;4551;RFB;RFB;06ª RF;MG;Brasil
GOVERNADOR VALADARES;MG;4553;RFB;RFB;06ª RF;MG;Brasil
GRUPIARA;MG;4557;RFB;RFB;06ª RF;MG;Brasil
GRAO MOGOL;MG;4555;RFB;RFB;06ª RF;MG;Brasil
GUANHAES;MG;4559;RFB;RFB;06ª RF;MG;Brasil
GUAPE;MG;4561;RFB;RFB;06ª RF;MG;Brasil
GUARACIABA;MG;4563;RFB;RFB;06ª RF;MG;Brasil
GUARACIAMA;MG;0622;RFB;RFB;06ª RF;MG;Brasil
GUARANI;MG;4567;RFB;RFB;06ª RF;MG;Brasil
GUARANESIA;MG;4565;RFB;RFB;06ª RF;MG;Brasil
GUARARA;MG;4569;RFB;RFB;06ª RF;MG;Brasil
GUARDA-MOR;MG;4571;RFB;RFB;06ª RF;MG;Brasil
GUAXUPE;MG;4573;RFB;RFB;06ª RF;MG;Brasil
GUIDOVAL;MG;4575;RFB;RFB;06ª RF;MG;Brasil
GUIMARANIA;MG;4577;RFB;RFB;06ª RF;MG;Brasil
GUIRICEMA;MG;4579;RFB;RFB;06ª RF;MG;Brasil
GURINHATA;MG;4581;RFB;RFB;06ª RF;MG;Brasil
HELIODORA;MG;4583;RFB;RFB;06ª RF;MG;Brasil
IAPU;MG;4585;RFB;RFB;06ª RF;MG;Brasil
IBERTIOGA;MG;4587;RFB;RFB;06ª RF;MG;Brasil
IBIAI;MG;4591;RFB;RFB;06ª RF;MG;Brasil
IBIRACATU;MG;0624;RFB;RFB;06ª RF;MG;Brasil
IBIRACI;MG;4593;RFB;RFB;06ª RF;MG;Brasil
IBIRITE;MG;4595;RFB;RFB;06ª RF;MG;Brasil
IBITIURA DE MINAS;MG;4597;RFB;RFB;06ª RF;MG;Brasil
IBITURUNA;MG;4599;RFB;RFB;06ª RF;MG;Brasil
IBIA;MG;4589;RFB;RFB;06ª RF;MG;Brasil
ICARAI DE MINAS;MG;2693;RFB;RFB;06ª RF;MG;Brasil
IGARAPE;MG;4601;RFB;RFB;06ª RF;MG;Brasil
IGARATINGA;MG;4603;RFB;RFB;06ª RF;MG;Brasil
IGUATAMA;MG;4605;RFB;RFB;06ª RF;MG;Brasil
IJACI;MG;4607;RFB;RFB;06ª RF;MG;Brasil
ILICINEA;MG;4609;RFB;RFB;06ª RF;MG;Brasil
IMBE DE MINAS;MG;0626;RFB;RFB;06ª RF;MG;Brasil
INCONFIDENTES;MG;4611;RFB;RFB;06ª RF;MG;Brasil
INDAIABIRA;MG;0628;RFB;RFB;06ª RF;MG;Brasil
INDIANOPOLIS;MG;4613;RFB;RFB;06ª RF;MG;Brasil
INGAI;MG;4615;RFB;RFB;06ª RF;MG;Brasil
INHAPIM;MG;4617;RFB;RFB;06ª RF;MG;Brasil
INHAUMA;MG;4619;RFB;RFB;06ª RF;MG;Brasil
INIMUTABA;MG;4621;RFB;RFB;06ª RF;MG;Brasil
IPABA;MG;2665;RFB;RFB;06ª RF;MG;Brasil
IPANEMA;MG;4623;RFB;RFB;06ª RF;MG;Brasil
IPATINGA;MG;4625;RFB;RFB;06ª RF;MG;Brasil
IPIACU;MG;4627;RFB;RFB;06ª RF;MG;Brasil
IPUIUNA;MG;4629;RFB;RFB;06ª RF;MG;Brasil
IRAI DE MINAS;MG;4631;RFB;RFB;06ª RF;MG;Brasil
ITABIRA;MG;4633;RFB;RFB;06ª RF;MG;Brasil
ITABIRINHA;MG;4635;RFB;RFB;06ª RF;MG;Brasil
ITABIRITO;MG;4637;RFB;RFB;06ª RF;MG;Brasil
ITACAMBIRA;MG;4639;RFB;RFB;06ª RF;MG;Brasil
ITACARAMBI;MG;4641;RFB;RFB;06ª RF;MG;Brasil
ITAGUARA;MG;4643;RFB;RFB;06ª RF;MG;Brasil
ITAIPE;MG;4645;RFB;RFB;06ª RF;MG;Brasil
ITAJUBA;MG;4647;RFB;RFB;06ª RF;MG;Brasil
ITAMARANDIBA;MG;4649;RFB;RFB;06ª RF;MG;Brasil
ITAMARATI DE MINAS;MG;4651;RFB;RFB;06ª RF;MG;Brasil
ITAMBACURI;MG;4653;RFB;RFB;06ª RF;MG;Brasil
ITAMBE DO MATO DENTRO;MG;4655;RFB;RFB;06ª RF;MG;Brasil
ITAMOGI;MG;4657;RFB;RFB;06ª RF;MG;Brasil
