Município;Total;UF;Data
IBITITA;12;BA;02/03/2020
IBOTIRAMA;27;BA;02/03/2020
ICHU;11;BA;02/03/2020
IGAPORA;10;BA;02/03/2020
IGRAPIUNA;4;BA;02/03/2020
IGUAI;9;BA;02/03/2020
ILHEUS;534;BA;02/03/2020
INHAMBUPE;12;BA;02/03/2020
IPECAETA;4;BA;02/03/2020
IPIAU;40;BA;02/03/2020
IPIRA;27;BA;02/03/2020
IPUPIARA;6;BA;02/03/2020
IRAMAIA;2;BA;02/03/2020
IRAQUARA;15;BA;02/03/2020
IRARA;33;BA;02/03/2020
IRECE;153;BA;02/03/2020
ITABELA;6;BA;02/03/2020
ITABERABA;137;BA;02/03/2020
ITABUNA;521;BA;02/03/2020
ITACARE;21;BA;02/03/2020
ITAETE;15;BA;02/03/2020
ITAGI;8;BA;02/03/2020
ITAGIBA;23;BA;02/03/2020
ITAGIMIRIM;7;BA;02/03/2020
ITAGUACU DA BAHIA;1;BA;02/03/2020
ITAJUIPE;17;BA;02/03/2020
ITAMARAJU;54;BA;02/03/2020
ITAMARI;2;BA;02/03/2020
ITAMBE;21;BA;02/03/2020
ITANHEM;8;BA;02/03/2020
ITAPARICA;33;BA;02/03/2020
ITAPE;2;BA;02/03/2020
ITAPEBI;23;BA;02/03/2020
ITAPETINGA;95;BA;02/03/2020
ITAPICURU;19;BA;02/03/2020
ITAPITANGA;2;BA;02/03/2020
ITARANTIM;7;BA;02/03/2020
ITATIM;2;BA;02/03/2020
ITIRUCU;5;BA;02/03/2020
ITIUBA;23;BA;02/03/2020
ITORORO;8;BA;02/03/2020
ITUACU;10;BA;02/03/2020
ITUBERA;6;BA;02/03/2020
JABORANDI;18;BA;02/03/2020
JACARACI;3;BA;02/03/2020
JACOBINA;138;BA;02/03/2020
JAGUAQUARA;20;BA;02/03/2020
JAGUARARI;116;BA;02/03/2020
JAGUARIPE;6;BA;02/03/2020
JANDAIRA;7;BA;02/03/2020
JEQUIE;416;BA;02/03/2020
JEREMOABO;50;BA;02/03/2020
JIQUIRICA;6;BA;02/03/2020
JITAUNA;12;BA;02/03/2020
JOAO DOURADO;7;BA;02/03/2020
JUAZEIRO;634;BA;02/03/2020
JUCURUCU;3;BA;02/03/2020
JUSSARA;4;BA;02/03/2020
JUSSARI;2;BA;02/03/2020
JUSSIAPE;1;BA;02/03/2020
LAFAIETE COUTINHO;2;BA;02/03/2020
LAGOA REAL;1;BA;02/03/2020
LAJE;10;BA;02/03/2020
LAJEDAO;3;BA;02/03/2020
LAMARAO;2;BA;02/03/2020
LAPAO;13;BA;02/03/2020
LAURO DE FREITAS;801;BA;02/03/2020
LENCOIS;6;BA;02/03/2020
LICINIO DE ALMEIDA;9;BA;02/03/2020
LIVRAMENTO DE NOSSA SENHORA;20;BA;02/03/2020
LUIS EDUARDO MAGALHAES;131;BA;02/03/2020
MACAJUBA;1;BA;02/03/2020
MACARANI;14;BA;02/03/2020
MACAUBAS;21;BA;02/03/2020
MACURURE;1;BA;02/03/2020
MADRE DE DEUS;44;BA;02/03/2020
MAETINGA;1;BA;02/03/2020
MAIQUINIQUE;5;BA;02/03/2020
MANOEL VITORINO;10;BA;02/03/2020
MARACAS;25;BA;02/03/2020
MARAGOGIPE;46;BA;02/03/2020
MARAU;11;BA;02/03/2020
MARCIONILIO SOUZA;1;BA;02/03/2020
MASCOTE;4;BA;02/03/2020
MATA DE SAO JOAO;114;BA;02/03/2020
MEDEIROS NETO;12;BA;02/03/2020
MIGUEL CALMON;13;BA;02/03/2020
MILAGRES;1;BA;02/03/2020
MIRANGABA;2;BA;02/03/2020
MIRANTE;5;BA;02/03/2020
MONTE SANTO;9;BA;02/03/2020
MORPARA;3;BA;02/03/2020
MORRO DO CHAPEU;38;BA;02/03/2020
MORTUGABA;4;BA;02/03/2020
MUCUGE;13;BA;02/03/2020
MUCURI;67;BA;02/03/2020
MULUNGU DO MORRO;2;BA;02/03/2020
MUNDO NOVO;11;BA;02/03/2020
MUNIZ FERREIRA;3;BA;02/03/2020
MURITIBA;51;BA;02/03/2020
MUTUIPE;10;BA;02/03/2020
NAZARE;42;BA;02/03/2020
NILO PECANHA;1;BA;02/03/2020
NORDESTINA;3;BA;02/03/2020
NOVA CANAA;3;BA;02/03/2020
NOVA FATIMA;4;BA;02/03/2020
NOVA ITARANA;2;BA;02/03/2020
NOVA REDENCAO;7;BA;02/03/2020
NOVA SOURE;8;BA;02/03/2020
NOVA VICOSA;28;BA;02/03/2020
NOVO HORIZONTE;1;BA;02/03/2020
NOVO TRIUNFO;1;BA;02/03/2020
OLINDINA;15;BA;02/03/2020
OLIVEIRA DOS BREJINHOS;10;BA;02/03/2020
OURICANGAS;9;BA;02/03/2020
OUROLANDIA;4;BA;02/03/2020
PALMAS DE MONTE ALTO;10;BA;02/03/2020
PALMEIRAS;1;BA;02/03/2020
PARAMIRIM;5;BA;02/03/2020
PARIPIRANGA;15;BA;02/03/2020
PAU BRASIL;8;BA;02/03/2020
PAULO AFONSO;261;BA;02/03/2020
PE DE SERRA;6;BA;02/03/2020
PEDRAO;2;BA;02/03/2020
PEDRO ALEXANDRE;15;BA;02/03/2020
PIATA;12;BA;02/03/2020
PILAO ARCADO;8;BA;02/03/2020
PINDAI;13;BA;02/03/2020
PINDOBACU;5;BA;02/03/2020
PINTADAS;4;BA;02/03/2020
PIRAI DO NORTE;1;BA;02/03/2020
PIRIPA;1;BA;02/03/2020
PIRITIBA;10;BA;02/03/2020
PLANALTO;7;BA;02/03/2020
POCOES;69;BA;02/03/2020
POJUCA;257;BA;02/03/2020
PONTO NOVO;11;BA;02/03/2020
PORTO SEGURO;233;BA;02/03/2020
POTIRAGUA;3;BA;02/03/2020
PRADO;21;BA;02/03/2020
PRESIDENTE DUTRA;16;BA;02/03/2020
PRESIDENTE JANIO QUADROS;14;BA;02/03/2020
PRESIDENTE TANCREDO NEVES;4;BA;02/03/2020
QUEIMADAS;20;BA;02/03/2020
QUIJINGUE;6;BA;02/03/2020
QUIXABEIRA;2;BA;02/03/2020
RAFAEL JAMBEIRO;2;BA;02/03/2020
REMANSO;32;BA;02/03/2020
RETIROLANDIA;8;BA;02/03/2020
RIACHAO DAS NEVES;7;BA;02/03/2020
RIACHAO DO JACUIPE;29;BA;02/03/2020
RIACHO DE SANTANA;17;BA;02/03/2020
RIBEIRA DO AMPARO;3;BA;02/03/2020
RIBEIRA DO POMBAL;52;BA;02/03/2020
RIBEIRAO DO LARGO;3;BA;02/03/2020
RIO DE CONTAS;18;BA;02/03/2020
RIO DO ANTONIO;2;BA;02/03/2020
RIO DO PIRES;1;BA;02/03/2020
RIO REAL;43;BA;02/03/2020
RUY BARBOSA;18;BA;02/03/2020
SALINAS DA MARGARIDA;12;BA;02/03/2020
SALVADOR;9795;BA;02/03/2020
SALVADOR;9005;BA;03/03/2020
SALVADOR;12795;BA;04/03/2020
SALVADOR;5795;BA;05/03/2020
SANTA BARBARA;18;BA;02/03/2020
SANTA BRIGIDA;10;BA;02/03/2020
SANTA CRUZ CABRALIA;23;BA;02/03/2020
SANTA CRUZ DA VITORIA;1;BA;02/03/2020
SANTA INES;8;BA;02/03/2020
SANTA LUZIA;1;BA;02/03/2020
SANTA MARIA DA VITORIA;44;BA;02/03/2020
SANTA RITA DE CASSIA;12;BA;02/03/2020
SANTA TERESINHA;8;BA;02/03/2020
SANTALUZ;14;BA;02/03/2020
SANTANA;6;BA;02/03/2020
SANTANOPOLIS;7;BA;02/03/2020
SANTO AMARO;102;BA;02/03/2020
SANTO ANTONIO DE JESUS;176;BA;02/03/2020
SANTO ESTEVAO;32;BA;02/03/2020
SAO DESIDERIO;17;BA;02/03/2020
SAO DOMINGOS;7;BA;02/03/2020
SAO FELIPE;9;BA;02/03/2020
SAO FELIX;25;BA;02/03/2020
SAO FELIX DO CORIBE;13;BA;02/03/2020
SAO FRANCISCO DO CONDE;127;BA;02/03/2020
SAO GABRIEL;14;BA;02/03/2020
SAO GONCALO DOS CAMPOS;53;BA;02/03/2020
SAO JOSE DA VITORIA;2;BA;02/03/2020
SAO JOSE DO JACUIPE;3;BA;02/03/2020
SAO MIGUEL DAS MATAS;6;BA;02/03/2020
SAO SEBASTIAO DO PASSE;100;BA;02/03/2020
SAPEACU;6;BA;02/03/2020
SATIRO DIAS;11;BA;02/03/2020
SAUBARA;12;BA;02/03/2020
SAUDE;8;BA;02/03/2020
SEABRA;31;BA;02/03/2020
SEBASTIAO LARANJEIRAS;5;BA;02/03/2020
SENHOR DO BONFIM;165;BA;02/03/2020
SENTO SE;30;BA;02/03/2020
SERRA DO RAMALHO;9;BA;02/03/2020
SERRA DOURADA;12;BA;02/03/2020
SERRA PRETA;10;BA;02/03/2020
SERRINHA;155;BA;02/03/2020
SERROLANDIA;3;BA;02/03/2020
SIMOES FILHO;283;BA;02/03/2020
SITIO DO MATO;5;BA;02/03/2020
SITIO DO QUINTO;1;BA;02/03/2020
SOBRADINHO;28;BA;02/03/2020
SOUTO SOARES;5;BA;02/03/2020
TABOCAS DO BREJO VELHO;11;BA;02/03/2020
TANHACU;7;BA;02/03/2020
TANQUE NOVO;4;BA;02/03/2020
TANQUINHO;13;BA;02/03/2020
TAPEROA;6;BA;02/03/2020
TAPIRAMUTA;8;BA;02/03/2020
TEIXEIRA DE FREITAS;231;BA;02/03/2020
TEODORO SAMPAIO;2;BA;02/03/2020
TEOFILANDIA;24;BA;02/03/2020
TEOLANDIA;2;BA;02/03/2020
TERRA NOVA;8;BA;02/03/2020
TREMEDAL;1;BA;02/03/2020
TUCANO;41;BA;02/03/2020
UAUA;34;BA;02/03/2020
